Команда,Сумма
Ва-банк,28
Гвардия,58
Напряжены у всех на глазах,64
ОНУ им. Мечникова,37
Номер 6,57
Giper-Turbo,37
Сборная Кирибати,85
Церебрум,57
Команда Алхазова,46
Борский корабел,84
Джагернаут,34
Эрликон,32
Афина,59
ИЖ Юпитер 5,44
Веретено,41
Зима далеко!,35
Ксеп,73
Тачанка,70
Бонобо,13
Хронически разумные United,55
Братья,71
Варанда,22
X-promt,61
Мираж,68
Бедлам,55
Сперва добейся,44
Страпелька,66
Барселона,37
Gambler,48
Спонсора.net,52
Зненацька,60
Вжух,67
Ворона и Медведы,43
Арагаст,65
DimTeam,41
Зигзаг,71
Тормоза,50
Сборная Кайнозоя,34
Пахом Пихай,63
Сборная ВКЛ,37
Команда Губанова,76
Как-то так,51
Язык Чау-Чау,51
Опять двойка,29
Жмурки,40
Eclipse,52
Глеб Шишкин,46
Сборная Нидерландов,52
Пентиум,54
Приматы,60
Keisecker,66
Понты Пилата,42
Совхоз Победа,40
Рабочее название,74
Тёмный лес,51
Эрудиты,73
Призрак оптимизма,30
Монополия,5
Мистерия,40
Жрецы Хамона,46
Норманны,49
НУИХ,38
Кьяроскуро,55
Панические атаки,51
Двин,31
